,수위,총유입량,총방류량
34134,5.16,411.621,372.954
34135,5.16,377.205,377.205
34136,5.16,377.19,377.19
34137,5.17,419.265,380.598
34138,5.17,407.875,407.875
34139,5.17,384.933,384.933
34140,5.15,303.606,380.939
34141,5.12,250.156,366.156
34142,5.12,266.821,266.821
34143,5.1,166.765,244.098
34144,5.08,156.896,234.229
34145,5.07,190.145,228.839
34146,5.07,227.878,227.878
34147,5.07,227.83,227.83
34148,5.07,227.682,227.682
34149,5.08,266.964,228.27
34150,5.09,269.572,230.905
34151,5.1,272.616,233.949
34152,5.1,236.263,236.263
34153,5.1,236.29,236.29
34154,5.11,276.116,237.449
34155,5.11,241.458,241.458
34156,5.11,241.538,241.538
34157,5.12,284.184,245.517
34158,5.12,246.566,246.566
34159,5.12,246.755,246.755
34160,5.14,330.336,253.003
34161,5.16,341.483,264.15
34162,5.17,309.764,271.097
34163,5.17,272.51,272.51
34164,5.18,313.712,275.045
34165,5.18,277.845,277.845
34166,5.18,277.845,277.845
34167,5.18,277.744,277.744
34168,5.17,238.24,276.907
34169,5.17,272.911,272.911
34170,5.16,232.428,271.095
34171,5.13,142.787,258.787
34172,5.12,194.538,233.205
34173,5.11,168.51,207.177
34174,5.11,205.867,205.867
34175,5.11,205.985,205.985
34176,5.11,205.958,205.958
34177,5.1,165.255,203.922
34178,5.1,200.792,200.792
34179,5.1,201.149,201.149
34180,5.09,160.379,199.046
34181,5.08,158.528,197.195
34182,5.07,156.124,194.818
34183,5.07,192.53,192.53
34184,5.06,152.283,190.95
34185,5.06,189.65,189.65
34186,5.06,176.883,176.883
34187,5.06,156.21,156.21
34188,5.06,156.332,156.332
34189,5.04,55.276,132.609
34190,5.04,69.06,69.06
34191,5.04,56.192,56.192
34192,5.03,15.961,54.628
34193,5.03,58.28,58.28
34194,5.03,67.618,67.618
34195,5.04,110.912,72.245
34196,5.04,108.334,108.334
34197,5.04,108.234,108.234
34198,5.05,149.082,110.415
34199,5.06,184.248,145.581
34200,5.06,146.74,146.74
34201,5.06,149.842,149.842
34202,5.06,151.297,151.297
34203,5.06,168.45,168.45
34204,5.06,189.753,189.753
34205,5.06,189.68,189.68
34206,5.07,230.337,191.67
34207,5.07,192.639,192.639
34208,5.07,192.36,192.36
34209,5.07,192.427,192.427
34210,5.08,232.352,193.658
34211,5.08,195.312,195.312
34212,5.08,195.3,195.3
34213,5.08,195.28,195.28
34214,5.08,195.382,195.382
34215,5.08,202.858,202.858
34216,5.08,200.333,200.333
34217,5.08,198.865,198.865
34218,5.07,156.234,194.928
34219,5.06,153.063,191.73
34220,5.05,150.678,189.345
