Unnamed: 0,수위,총유입량,총방류량
62114,5.04,460.327,460.327
62115,5.04,459.717,459.717
62116,5.03,419.775,458.442
62117,5.01,421.595,498.928
62118,4.99,407.618,502.84
62119,4.96,321.065,490.732
62120,4.93,292.046,461.713
62121,4.92,334.087,390.643
62122,4.91,327.661,384.217
62123,4.89,265.981,379.092
62124,4.88,304.712,361.268
62125,4.87,294.299,350.855
62126,4.84,83.558,253.225
62127,4.82,89.347,202.458
62128,4.82,200.855,200.855
62129,4.84,315.718,202.607
62130,4.88,440.635,214.413
62131,4.91,390.624,220.957
62132,4.91,303.392,303.392
62133,4.92,363.359,306.803
62134,4.92,376.172,376.172
62135,4.92,369.772,369.772
62136,4.9,251.899,365.01
62137,4.85,70.392,353.17
62138,4.82,168.947,338.614
62139,4.81,133.244,189.8
62140,4.81,85.198,85.198
62141,4.81,87.858,87.858
62142,4.86,377.696,94.918
62143,4.88,396.623,283.512
62144,4.89,358.876,302.32
62145,4.89,305.168,305.168
62146,4.9,395.185,338.629
62147,4.88,331.005,444.116
62148,4.87,353.521,410.077
62149,4.87,375.96,375.96
62150,4.87,374.11,374.11
62151,4.87,373.482,373.482
62152,4.87,374.077,374.077
62153,4.87,361.802,361.802
62154,4.87,295.55,295.55
62155,4.87,295.943,295.943
62156,4.87,295.923,295.923
62157,4.87,233.468,233.468
67991,4.86,110.138,110.138
67992,4.86,106.738,106.738
67993,4.86,100.025,100.025
67994,4.86,102.875,102.875
67995,4.86,101.437,101.437
67996,4.86,100.683,100.683
67997,4.86,102.512,102.512
67998,4.86,102.027,102.027
67999,4.86,102.347,102.347
68000,4.86,102.165,102.165
68001,4.85,44.949,101.505
68002,4.85,100.507,100.507
68003,4.85,101.722,101.722
68004,4.85,100.327,100.327
68005,4.84,42.947,99.503
68006,4.84,102.597,102.597
68007,4.84,102.463,102.463
68008,4.83,46.282,102.838
68009,4.83,101.613,101.613
68010,4.83,101.337,101.337
68011,4.83,100.638,100.638
68012,4.83,103.767,103.767
68013,4.83,101.592,101.592
68014,4.83,102.93,102.93
68015,4.83,105.032,105.032
68016,4.83,102.735,102.735
68017,4.83,101.057,101.057
68018,4.83,101.197,101.197
68019,4.83,102.537,102.537
68020,4.83,101.172,101.172
68021,4.83,104.302,104.302
68022,4.83,100.62,100.62
68023,4.83,101.162,101.162
68024,4.82,46.294,102.85
68025,4.82,82.748,82.748
68026,4.82,80.243,80.243
68027,4.82,95.198,95.198
68028,4.82,100.058,100.058
68029,4.82,102.105,102.105
68030,4.82,107.613,107.613
68031,4.82,100.927,100.927
68032,4.82,101.388,101.388
68033,4.82,96.285,96.285
68034,4.83,147.466,90.91
68035,4.83,91.873,91.873
68036,4.84,145.829,89.273
68037,4.84,101.598,101.598
68038,4.84,103.043,103.043
68039,4.85,159.401,102.845
68040,4.85,102.648,102.648
68041,4.85,105.022,105.022
68042,4.86,159.801,103.245
68043,4.86,105.348,105.348
68044,4.87,161.698,105.142
68045,4.87,102.712,102.712
68046,4.87,102.798,102.798
68047,4.87,104.773,104.773
68048,4.86,47.974,104.53
68049,4.85,46.719,103.275
68050,4.85,103.752,103.752
68051,4.84,48.449,105.005
68052,4.84,104.162,104.162
68053,4.84,102.65,102.65
68054,4.83,46.126,102.682
68055,4.82,46.659,103.215
68056,4.81,45.017,101.573
68057,4.82,110.536,53.98
68058,4.82,83.548,83.548
68059,4.8,0.0,100.798
68060,4.79,44.189,100.745
68061,4.79,100.853,100.853
68062,4.79,100.603,100.603
68063,4.79,100.412,100.412
68064,4.79,101.767,101.767
68065,4.8,156.984,100.428
68066,4.8,102.01,102.01
68067,4.8,101.9,101.9
68068,4.8,101.205,101.205
68069,4.81,159.289,102.733
68070,4.81,102.135,102.135
68071,4.81,104.182,104.182
68072,4.81,102.99,102.99
68073,4.81,102.375,102.375
68074,4.81,103.71,103.71
68075,4.81,100.577,100.577
68076,4.81,100.862,100.862
68077,4.81,100.515,100.515
68078,4.81,100.288,100.288
68079,4.81,102.645,102.645
68080,4.81,102.645,102.645
68081,4.81,101.663,101.663
68082,4.82,156.883,100.327
68083,4.83,157.013,100.457
68084,4.84,156.789,100.233
68085,4.84,100.28,100.28
68086,4.84,100.332,100.332
68087,4.84,100.188,100.188
68088,4.85,156.881,100.325
68089,4.85,101.682,101.682
68090,4.85,100.987,100.987
68091,4.85,100.723,100.723
68092,4.85,102.117,102.117
68093,4.85,105.107,105.107
68094,4.85,101.707,101.707
68095,4.85,94.493,94.493
68096,4.85,80.727,80.727
68097,4.84,24.482,81.038
68098,4.83,24.646,81.202
68099,4.83,80.588,80.588
68100,4.83,80.382,80.382
68101,4.83,80.072,80.072
68102,4.83,80.74,80.74
68103,4.84,136.496,79.94
68104,4.85,136.438,79.882
68105,4.85,79.822,79.822
68106,4.85,79.912,79.912
68107,4.86,136.354,79.798
68108,4.87,136.386,79.83
68109,4.87,79.907,79.907
68110,4.88,136.453,79.897
68111,4.89,136.354,79.798
68112,4.89,75.66,75.66
68113,4.89,75.257,75.257
68114,4.89,75.268,75.268
68115,4.89,75.223,75.223
68116,4.89,75.36,75.36
68117,4.89,75.252,75.252
68118,4.89,75.285,75.285
68119,4.89,77.12,77.12
68120,4.89,77.288,77.288
68121,4.89,77.713,77.713
68122,4.89,74.367,74.367
68123,4.89,73.6,73.6
68124,4.89,76.288,76.288
68125,4.89,75.538,75.538
68126,4.89,75.692,75.692
68127,4.88,19.824,76.38
68128,4.88,76.842,76.842
68129,4.89,132.093,75.537
68130,4.89,76.518,76.518
68131,4.9,132.817,76.261
68132,4.9,75.86,75.86
68133,4.91,132.343,75.787
68134,4.92,132.359,75.803
68135,4.92,74.072,74.072
68136,4.93,129.946,73.39
68137,4.94,131.121,74.565
68138,4.95,131.478,74.922
68139,4.96,131.804,75.248
68140,4.97,131.595,75.039
68141,4.97,73.81,73.81
68142,4.99,185.86,72.804
68143,4.99,72.89,72.892
68144,4.99,73.401,73.401
68145,4.99,73.115,73.115
68146,4.99,73.803,73.803
68147,4.99,74.41,74.41
68148,4.99,74.901,74.901
68149,4.99,75.039,75.039
68150,4.99,74.955,74.955
68151,4.99,74.925,74.925
68152,4.99,72.768,72.768
68153,4.99,71.736,71.736
68154,5.0,128.237,71.681
